"id","team","wiki","region","country","track","kind","section","application","year"
3558,"UNSW_Australia","https://2020.igem.org/Team:UNSW_Australia","asia","AUS","Environment","collegiate","undergrad","accepted",2020
3444,"UoCrete","https://2020.igem.org/Team:UoCrete","europe","GRC",,"collegiate","collegiate","deleted",2020
3425,"UofUppsala","https://2020.igem.org/Team:UofUppsala","europe","SWE","New Application","collegiate","overgrad","accepted",2020
3508,"uOttawa","https://2020.igem.org/Team:uOttawa","north-america","CAN",,"collegiate","collegiate","deleted",2020
3612,"UPCH_Peru","https://2020.igem.org/Team:UPCH_Peru","latin-america","PER","Food & Nutrition","collegiate","undergrad","accepted",2020
3484,"UPF_Barcelona","https://2020.igem.org/Team:UPF_Barcelona","europe","ESP","Therapeutics","collegiate","undergrad","accepted",2020
3671,"UPRM-RUM","https://2020.igem.org/Team:UPRM-RUM","north-america","USA",,"collegiate","collegiate","deleted",2020
3347,"USAFA","https://2020.igem.org/Team:USAFA","north-america","USA","Environment","collegiate","undergrad","accepted",2020
3334,"USTC","https://2020.igem.org/Team:USTC","asia","CHN",,"collegiate","collegiate","deleted",2020
3336,"USTC-Software","https://2020.igem.org/Team:USTC-Software","asia","CHN","Software","collegiate","undergrad","accepted",2020
3501,"UTokyo","https://2020.igem.org/Team:UTokyo","asia","JPN",,"collegiate","collegiate","deleted",2020
3339,"UTTyler","https://2020.igem.org/Team:UTTyler","north-america","USA","Diagnostics","collegiate","undergrad","accepted",2020
3443,"UUlm","https://2020.igem.org/Team:UUlm","europe","DEU","Environment","collegiate","undergrad","accepted",2020
3610,"UZurich","https://2020.igem.org/Team:UZurich","europe","CHE","New Application","collegiate","undergrad","accepted",2020
3416,"Vilnius-Lithuania","https://2020.igem.org/Team:Vilnius-Lithuania","europe","LTU","Environment","collegiate","undergrad","accepted",2020
3615,"Virginia","https://2020.igem.org/Team:Virginia","north-america","USA","Manufacturing","collegiate","undergrad","accepted",2020
3438,"VIT_Vellore","https://2020.igem.org/Team:VIT_Vellore","asia","IND",,"collegiate","collegiate","withdrawn",2020
3625,"Warwick","https://2020.igem.org/Team:Warwick","europe","GBR","Diagnostics","collegiate","undergrad","accepted",2020
3580,"Waseda","https://2020.igem.org/Team:Waseda","asia","JPN","Information Processing","collegiate","undergrad","accepted",2020
3667,"Washington","https://2020.igem.org/Team:Washington","north-america","USA",,"collegiate","collegiate","deleted",2020
3381,"Waterloo","https://2020.igem.org/Team:Waterloo","north-america","CAN","Manufacturing","collegiate","undergrad","accepted",2020
3562,"WHU-China","https://2020.igem.org/Team:WHU-China","asia","CHN","Therapeutics","collegiate","undergrad","accepted",2020
3517,"William_and_Mary","https://2020.igem.org/Team:William_and_Mary","north-america","USA","Therapeutics","collegiate","undergrad","accepted",2020
3361,"WLC-Milwaukee","https://2020.igem.org/Team:WLC-Milwaukee","north-america","USA",,"collegiate","collegiate","deleted",2020
3578,"Worldshaper-Nanjing","https://2020.igem.org/Team:Worldshaper-Nanjing","asia","CHN","High School","high-school","high-school","accepted",2020
3577,"Worldshaper-Shanghai","https://2020.igem.org/Team:Worldshaper-Shanghai","asia","CHN","High School","high-school","high-school","accepted",2020
3638,"Worldshaper-Wuhan","https://2020.igem.org/Team:Worldshaper-Wuhan","asia","CHN","High School","high-school","high-school","accepted",2020
3554,"WS-Wuhan","https://2020.igem.org/Team:WS-Wuhan","asia","CHN",,"collegiate","collegiate","deleted",2020
3663,"XaviersLSD_Mumbai","https://2020.igem.org/Team:XaviersLSD_Mumbai","asia","IND",,"collegiate","collegiate","deleted",2020
3662,"Xaviers_Mumbai","https://2020.igem.org/Team:Xaviers_Mumbai","asia","IND",,"collegiate","collegiate","deleted",2020
